Plate,Comment [Plate Replicate],Comment [Plate Subset],Well,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism 2],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Line],Term Source 3 REF,Term Source 3 Accession,Prestwick Chemical Library ID,Compound Name,Compound PubChem CID,Compound PubChem URL,Compound Concentration (microMolar),CAS,Compound SMILES,Experimental Condition [DMSO solvent],Control Type,Comment [Control Type Comments],Quality Control,Comment [Quality Control Comments],Channels,Max Nuclei Intensity,Total Nuclei Intensity,Mean Nuclei Intensity,Number Of Nuclei,Max Virus Intensity,Total Virus Intensity,Mean Virus Intensity,Median Virus Intensity,Number Of Plaques,Number Of Infected Nuclei,Lesion Area,Infection Index
BSF018292-1A,1,A,A1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,34759,14780154103,3523.86334,33545,65535,10367032996,2471.693276,1503,36,26095,2477293,0.77791027
BSF018292-1A,1,A,A10,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1112,Procarbazine hydrochloride,9703,https://pubchem.ncbi.nlm.nih.gov/compound/9703,1.25,366-70-1,C(NC(C)C)(c1ccc(cc1)CNNC)=O,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,65535,15467035654,3687.628664,33535,65535,8616506651,2054.335273,857,34,22036,1912021,0.657104518
BSF018292-1A,1,A,A11,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1132,Celiprolol HCl,42373,https://pubchem.ncbi.nlm.nih.gov/compound/42373,1.25,57470-78-7,C(Nc1cc(c(OCC(CNC(C)(C)C)O)cc1)C(=O)C)(N(CC)CC)=O,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,33741,14013194268,3341.005866,33448,65535,9781528058,2332.098021,1233,32,24638,2273397,0.736606075
BSF018292-1A,1,A,A12,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-116,Naltrexone hydrochloride dihydrate,5485201,https://pubchem.ncbi.nlm.nih.gov/compound/5485201,1.25,16676-29-2,[C@]123[C@@]4([C@H](N(CC5CC5)CC1)Cc1c2c(O[C@H]3C(CC4)=O)c(cc1)O)O,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,36868,15980461779,3810.038991,36034,49997,7370656750,1757.301509,602,16,20792,1562393,0.577010601
BSF018292-1A,1,A,A13,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1181,Tibolone,444008,https://pubchem.ncbi.nlm.nih.gov/compound/444008,1.25,5630-53-5,C/1\2=C(/C[C@H]([C@]3([C@]4([C@@]([C@](C#C)(CC4)O)(CC[C@]13[H])C)[H])[H])C)\CC(=O)CC2,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,35092,13323426218,3176.552348,30220,63885,7416744580,1768.289704,657,28,17737,1533843,0.586929186
BSF018292-1A,1,A,A14,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-120,Triamcinolone,31307,https://pubchem.ncbi.nlm.nih.gov/compound/31307,1.25,124-94-7,[C@]12([C@]([C@@H](C[C@]1([C@]1([C@@]([C@@]\3(\C(=C/C(\C=C3)=O)\CC1)C)([C@H](C2)O)F)[H])[H])O)(C(=O)CO)O)C,,,,fail,toxic in absence of infection,Hoechst:nuclei; GFP:infection,36341,9642795797,2299.021672,17250,61455,7008412940,1670.935855,1059,27,14094,2090361,0.817043478
BSF018292-1A,1,A,A15,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-123,Dehydrocholic acid,6674,https://pubchem.ncbi.nlm.nih.gov/compound/6674,1.25,81-23-2,[C@]12([C@]([C@]3([C@@]([C@@]4([C@](CC3=O)(CC(=O)CC4)[H])C)(CC1=O)[H])[H])(CC[C@@H]2[C@@H](CCC(=O)O)C)[H])C,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,36151,16189304907,3859.831073,36184,61871,10023960049,2389.898312,1239,24,26328,2229010,0.727614415
BSF018292-1A,1,A,A16,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1254,Fentiazac,28871,https://pubchem.ncbi.nlm.nih.gov/compound/28871,1.25,18046-21-4,n1c(c(sc1c1ccccc1)CC(=O)O)c1ccc(cc1)Cl,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,37876,14718575329,3509.181816,33665,65535,6809449133,1623.499187,597,22,18571,1497893,0.55164117
BSF018292-1A,1,A,A17,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1271,Escitalopram,146570,https://pubchem.ncbi.nlm.nih.gov/compound/146570,1.25,128196-01-0,[C@]1(c2c(CO1)cc(C#N)cc2)(c1ccc(cc1)F)CCCN(C)C,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,31237,14248472695,3397.100614,33288,60141,7511448865,1790.868965,661,19,19662,1634106,0.590663302
BSF018292-1A,1,A,A18,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1295,Itopride,3792,https://pubchem.ncbi.nlm.nih.gov/compound/3792,1.25,122898-67-3,C(c1cc(c(cc1)OC)OC)(NCc1ccc(cc1)OCCN(C)C)=O,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,36061,13567902313,3234.839991,32201,65535,7497133766,1787.45598,698,26,18999,1671422,0.590012733
BSF018292-1A,1,A,A19,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-132,Loxapine succinate,71399,https://pubchem.ncbi.nlm.nih.gov/compound/71399,1.25,27833-64-3,C\1(=N\c2c(Oc3c1cc(cc3)Cl)cccc2)/N1CCN(CC1)C,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,34788,14807442486,3530.369398,34245,65535,10004510783,2385.261245,1404,25,25944,2336213,0.75759965
BSF018292-1A,1,A,A2,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,37281,16117437805,3842.69662,36605,65535,9936894065,2369.140164,1264,26,26428,2274469,0.721977872
BSF018292-1A,1,A,A20,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1342,Sildenafil,5212,https://pubchem.ncbi.nlm.nih.gov/compound/5212,1.25,139755-83-2,c1/2c(n(nc1CCC)C)C(N/C(=N2)/c1cc(S(N2CCN(CC2)C)(=O)=O)ccc1OCC)=O,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,35757,15509554989,3697.766063,35578,65535,7374718089,1758.269808,653,20,20069,1590385,0.564084547
BSF018292-1A,1,A,A21,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1363,Warfarin,54678486,https://pubchem.ncbi.nlm.nih.gov/compound/54678486,1.25,81-81-2,C/1(=C(/c2c(OC1=O)cccc2)\O)\C(CC(=O)C)c1ccccc1,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,29696,13419206918,3199.388246,31972,59744,9790735105,2334.293152,1089,25,23135,2136608,0.723601902
BSF018292-1A,1,A,A22,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1387,Tetraethylenepentamine pentahydrochloride,10309252,https://pubchem.ncbi.nlm.nih.gov/compound/10309252,1.25,4961-41-5,N(CCNCCNCCN)CCN,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,31615,14978521313,3571.157768,34972,65535,7589735758,1809.534015,700,21,19973,1677926,0.571114034
BSF018292-1A,1,A,A23,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,,3'-Deoxy-3'-Fluorothymidine,33039,https://pubchem.ncbi.nlm.nih.gov/compound/33039,1.25,25526-93-6,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)F,,positive control,inhibits adenovirus replication,,,Hoechst:nuclei; GFP:infection,30873,12685108044,3024.365436,26505,65535,2228225045,531.2502491,263,0,2253,0,0.08500283
BSF018292-1A,1,A,A24,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,,3'-Deoxy-3'-Fluorothymidine,33039,https://pubchem.ncbi.nlm.nih.gov/compound/33039,1.25,25526-93-6,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)F,,positive control,inhibits adenovirus replication,,,Hoechst:nuclei; GFP:infection,65535,12058419444,2874.95123,24148,65535,2107662889,502.5059912,260,0,2026,0,0.083899288
BSF018292-1A,1,A,A3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1,Azaguanine-8,8646,https://pubchem.ncbi.nlm.nih.gov/compound/8646,1.25,134-58-7,c12/N=C(\NC(c1nn[nH]2)=O)/N,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,42442,14841270991,3538.434742,34083,63455,8379470269,1997.821395,795,25,20881,1824418,0.612651468
BSF018292-1A,1,A,A4,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1014,Sertraline,68617,https://pubchem.ncbi.nlm.nih.gov/compound/68617,1.25,79617-96-2,c12[C@](c3cc(c(cc3)Cl)Cl)(CC[C@@](c1cccc2)(NC)[H])[H],,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,45292,17106397058,4078.48288,36920,61124,7494205616,1786.757854,778,28,22515,1812753,0.609832069
BSF018292-1A,1,A,A5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-103,Cyproheptadine hydrochloride,13770,https://pubchem.ncbi.nlm.nih.gov/compound/13770,1.25,969-33-5,C\1(/c2c(\C=C/c3c1cccc3)cccc2)=C\1/CCN(CC1)C,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,38454,16643920210,3968.219807,37161,61868,11228251591,2677.02379,1708,32,29615,2488452,0.79693765
BSF018292-1A,1,A,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1044,Prednicarbate,6714002,https://pubchem.ncbi.nlm.nih.gov/compound/6714002,1.25,73771-04-7,[C@]12([C@](C(COC(=O)CC)=O)(OC(=O)OCC)CC[C@]1([C@]1([C@@]([C@@]\3(\C(=C/C(\C=C3)=O)\CC1)C)([C@H](C2)O)[H])[H])[H])C,,,,fail,toxic in absence of infection,Hoechst:nuclei; GFP:infection,65535,10591326358,2525.168981,18508,65535,6014925384,1434.069963,645,25,12339,1489056,0.666684677
BSF018292-1A,1,A,A7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1059,Propoxycaine hydrochloride,11078,https://pubchem.ncbi.nlm.nih.gov/compound/11078,1.25,550-83-4,c1(c(cc(cc1)N)OCCC)C(=O)OCCN(CC)CC,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,62530,17622821510,4201.608064,37206,65535,8456902713,2016.282728,873,32,24179,1926416,0.649868301
BSF018292-1A,1,A,A8,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1075,(R)-Propranolol hydrochloride,21138,https://pubchem.ncbi.nlm.nih.gov/compound/21138,1.25,13071-11-9,c12c(OCC(CNC(C)C)(O)[H])cccc1cccc2,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,31504,13927211819,3320.506053,32198,63289,7752567606,1848.356153,673,26,19311,1632261,0.599757749
BSF018292-1A,1,A,A9,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1096,Estriol,5756,https://pubchem.ncbi.nlm.nih.gov/compound/5756,1.25,50-27-1,[C@]12([C@]([C@]3([C@@](c4c(CC3)cc(cc4)O)(CC1)[H])[H])(C[C@H]([C@@H]2O)O)[H])C,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,65535,16349886480,3898.116703,36135,65535,9087203896,2166.558241,1040,24,24576,2071858,0.680116231
BSF018292-1A,1,A,B1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,65535,15428724962,3678.494683,34815,65535,9702589041,2313.277493,997,28,23420,2059679,0.672698549
BSF018292-1A,1,A,B10,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1113,Viomycin sulfate,135524783,https://pubchem.ncbi.nlm.nih.gov/compound/135524783,1.25,37883-00-4,C/1(\NC([C@@H](NC([C@@H](NC([C@@H](NC(C[C@@H](N)CCCN)=O)CNC([C@@](NC1=O)([C@@]1(N\C(=N/[C@H](C1)O)\N)[H])[H])=O)=O)CO)=O)CO)=O)=C\NC(=O)N,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,38023,17610323068,4198.628203,37644,65423,10239257782,2441.229291,1343,24,27920,2331306,0.741685262
BSF018292-1A,1,A,B11,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1134,Cytarabine,6253,https://pubchem.ncbi.nlm.nih.gov/compound/6253,1.25,147-94-4,N\1([C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O)C(/N=C(\C=C1)/N)=O,,,,fail,toxic in absence of infection,Hoechst:nuclei; GFP:infection,36921,6708778629,1599.497468,3758,65535,2129660320,507.7505875,241,0,930,0,0.24747206
BSF018292-1A,1,A,B12,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1161,Stanozolol,25249,https://pubchem.ncbi.nlm.nih.gov/compound/25249,1.25,10418-03-8,[C@]12([C@@]3([C@]([C@]4([C@@]([C@](CC4)(O)C)(CC3)C)[H])(CC[C@]1(Cc1c(C2)cn[nH]1)[H])[H])[H])C,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,45253,16890323780,4026.966996,35275,62800,8452931099,2015.335822,716,29,21762,1728131,0.616924167
BSF018292-1A,1,A,B13,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1182,Tizanidine HCl,5487,https://pubchem.ncbi.nlm.nih.gov/compound/5487,1.25,51322-75-9,c12c(c(ccc1nsn2)Cl)N/C/1=N/CCN1,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,35413,15775113321,3761.080103,34625,65535,10318223896,2460.05628,1156,30,24960,2192171,0.720866426
BSF018292-1A,1,A,B14,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1202,4-aminosalicylic acid,4649,https://pubchem.ncbi.nlm.nih.gov/compound/4649,1.25,65-49-6,c1(c(cc(cc1)N)O)C(=O)O,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,43090,18596651228,4433.787162,38414,65535,8051823026,1919.704205,808,21,23869,1876169,0.621362003
BSF018292-1A,1,A,B15,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human adenovirus 2,NCBITaxon,NCBITaxon_10515,A549,EFO,EFO_0001086,Prestw-1231,Asenapine maleate,6917875,https://pubchem.ncbi.nlm.nih.gov/compound/6917875,1.25,85650-56-2,[C@]12([C@](c3c(Oc4c1cc(cc4)Cl)cccc3)(CN(C2)C)[H])[H],,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection,35624,15262012177,3638.747257,34324,65535,9405532038,2242.453584,1086,31,24045,2159652,0.700530241
