Prestwick Chemical Library ID	Compound Name	Subset	Well	Plate1	Plate2	Plate3	Plate4	NonInfectedToxHit	UZH_mean_numberOfNucleiHit	UZH_mean_numberOfInfectedNucleiHit	UZH_mean_infectionIndexHit	UZH_mean_numberOfPlaquesHit	UZH_mean_totalVirusIntensityHit	UZH_mean_numberOfNuclei_normalized	UZH_mean_numberOfInfectedNuclei_normalized	UZH_mean_infectionIndex_normalized	UZH_mean_numberOfPlaques_normalized	UZH_mean_totalVirusIntensity_normalized	Validation_ongoing
Prestw-1	Azaguanine-8	A	A3	BSF018292	BSF018296	BSF018300	BSF018304	0						0.93346939	0.938262866	1.006185972	1.015625	0.996650764	
Prestw-2	Allantoin	B	N17	BSF018293	BSF018297	BSF018301	BSF018305	0						0.872828805	0.78005702	0.899846046	1.088823198	0.823216169	
Prestw-3	Acetazolamide	C	K4	BSF018294	BSF018298	BSF018302	BSF018306	0						1.010408548	1.033976373	1.022576308	1.088823198	1.007887247	
Prestw-4	Metformin hydrochloride	C	H11	BSF018295	BSF018299	BSF018303	BSF018307	1						0.980709841	0.99833684	1.015898812	0.942426802	1.000261969	
Prestw-5	Atracurium besylate	C	K16	BSF018292	BSF018296	BSF018300	BSF018304	0						1.013100938	1.074345152	1.056080818	1.043074324	1.076151331	
Prestw-6	Isoflupredone acetate	C	H21	BSF018293	BSF018297	BSF018301	BSF018305	1						0.446730651	0.447952827	0.999145217	0.832629505	0.642767539	
Prestw-7	Amiloride hydrochloride dihydrate	D	I4	BSF018294	BSF018298	BSF018302	BSF018306	0						1.090678853	1.009524017	0.924606833	0.869228604	0.890417773	
Prestw-8	Amprolium hydrochloride	D	D11	BSF018295	BSF018299	BSF018303	BSF018307	0						0.978889731	0.98852007	1.007511111	0.99732545	0.989359444	
Prestw-9	Hydrochlorothiazide	D	B17	BSF018292	BSF018296	BSF018300	BSF018304	0						0.977818269	0.99993117	1.026972395	0.942426802	0.960508396	
Prestw-10	Sulfaguanidine	A	B3	BSF018293	BSF018297	BSF018301	BSF018305	0						1.004206436	0.973302285	0.966078169	0.969876126	0.940565384	
Prestw-11	Meticrane	A	D9	BSF018294	BSF018298	BSF018302	BSF018306	0						1.048713288	0.982689124	0.93252224	0.896677928	0.907541879	
Prestw-12	Benzonatate	A	P13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.229285836	0.180822036	0.774876661	0.530686937	0.390954415	
Prestw-13	Hydroflumethiazide	A	D18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.940131681	0.970212153	1.030985972	1.024774775	1.045288092	
Prestw-14	Sulfacetamide sodic hydrate	A	I22	BSF018294	BSF018298	BSF018302	BSF018306	0						1.058850959	1.035319909	0.976233629	0.933277027	0.985358342	
Prestw-15	Heptaminol hydrochloride	B	H7	BSF018295	BSF018299	BSF018303	BSF018307	0						1.041583949	0.988287191	0.949061147	0.979025901	0.962915007	
Prestw-16	Sulfathiazole	B	P8	BSF018295	BSF018299	BSF018303	BSF018307	0						0.993642928	1.167461156	1.169708804	0.933277027	1.220080462	
Prestw-17	Levodopa	B	P9	BSF018295	BSF018299	BSF018303	BSF018307	0						1.045498904	1.148382944	1.100667515	0.99732545	1.118589611	
Prestw-18	Idoxuridine	B	D16	BSF018292	BSF018296	BSF018300	BSF018304	0						0.959136381	1.068326111	1.107986653	1.143721847	1.027103338	
Prestw-19	Captopril	B	D17	BSF018292	BSF018296	BSF018300	BSF018304	0						1.082800865	1.05127216	0.974728966	0.933277027	0.903535131	
Prestw-20	Minoxidil	B	O17	BSF018292	BSF018296	BSF018300	BSF018304	1						0.474348251	0.382621148	0.813898997	1.116272523	0.568979022	
Prestw-21	Sulfaphenazole	B	I18	BSF018292	BSF018296	BSF018300	BSF018304	0						1.045313459	1.058751177	1.01207928	1.006475225	0.955034446	
Prestw-22	Panthenol (D)	B	D19	BSF018292	BSF018296	BSF018300	BSF018304	0						1.03901519	1.10461054	1.055281256	1.070523649	1.03299621	
Prestw-23	Sulfadiazine	B	O19	BSF018293	BSF018297	BSF018301	BSF018305	0						1.060396336	1.093844338	1.037173848	1.052224099	1.029456522	
Prestw-24	Norethynodrel	B	I20	BSF018293	BSF018297	BSF018301	BSF018305	0						1.062786519	1.089240488	1.024601013	1.125422297	0.990261242	
Prestw-25	Thiamphenicol	B	D21	BSF018293	BSF018297	BSF018301	BSF018305	0						1.047154174	1.020290219	0.977985231	0.979025901	0.924795837	
Prestw-26	Cimetidine	B	O21	BSF018293	BSF018297	BSF018301	BSF018305	0						1.037456076	1.103213263	1.072973507	1.088823198	1.070519941	
Prestw-27	Doxylamine succinate	B	J22	BSF018293	BSF018297	BSF018301	BSF018305	0						1.061804346	0.931052556	0.873939749	1.006475225	0.824347514	
Prestw-28	Ethambutol dihydrochloride	C	E3	BSF018293	BSF018297	BSF018301	BSF018305	0						0.961657062	1.013456099	1.053268153	1.070523649	1.107461915	
Prestw-29	Antipyrine	C	P3	BSF018293	BSF018297	BSF018301	BSF018305	0						0.951100422	0.971940836	1.019827242	1.088823198	1.014729628	
Prestw-30	Antipyrine, 4-hydroxy	C	L4	BSF018293	BSF018297	BSF018301	BSF018305	0						1.037490418	1.030635446	1.004032714	0.933277027	0.981541382	
Prestw-31	Chloramphenicol	C	G5	BSF018293	BSF018297	BSF018301	BSF018305	0						1.032366635	1.070207061	1.033975849	0.988175676	1.034186578	
Prestw-32	Epirizole	C	B6	BSF018293	BSF018297	BSF018301	BSF018305	0						0.915907041	0.960977582	1.039452773	0.979025901	0.99808676	
Prestw-33	Diprophylline	C	M6	BSF018293	BSF018297	BSF018301	BSF018305	0						0.989453239	0.888758041	0.89744147	0.814329955	0.854986931	
Prestw-34	Triamterene	C	H7	BSF018293	BSF018297	BSF018301	BSF018305	1						1.037284368	1.001794206	0.961336549	0.933277027	0.892481137	
Prestw-35	Dapsone	C	C8	BSF018293	BSF018297	BSF018301	BSF018305	0						0.90191623	0.799009835	0.886804259	0.860078829	0.825281757	
Prestw-36	Troleandomycin	C	M8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.933957042	0.936005725	1.016790772	1.024774775	0.973292324	
Prestw-37	Pyrimethamine	C	H9	BSF018294	BSF018298	BSF018302	BSF018306	0						1.058919643	1.105174825	1.042111732	0.860078829	0.979700896	
Prestw-38	Hexamethonium dibromide dihydrate	C	B10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.957790186	0.874149326	0.914292259	0.914977477	0.903908581	
Prestw-39	Diflunisal	C	M10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.985139921	1.004964951	1.017542598	1.006475225	0.977297689	
Prestw-40	Niclosamide	C	I11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.946065928	0.97013154	1.033826575	1.006475225	0.97406297	
Prestw-41	Procaine hydrochloride	C	A12	BSF018294	BSF018298	BSF018302	BSF018306	0						0.986850138	1.02393568	1.035430285	0.988175676	0.996504871	
Prestw-42	Moxisylyte hydrochoride	C	H12	BSF018294	BSF018298	BSF018302	BSF018306	0						1.029502537	1.039968543	1.012224534	0.979025901	0.956592086	
Prestw-43	Betazole hydrochloride	C	O12	BSF018294	BSF018298	BSF018302	BSF018306	0						0.978354	0.990454762	1.006609457	0.878378378	0.954634657	
Prestw-44	Isoxicam	C	I13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.948201982	0.996626071	1.054642054	1.088823198	1.057899692	
Prestw-45	Naproxen	C	B14	BSF018294	BSF018298	BSF018302	BSF018306	0						0.982323901	1.016922422	1.032541668	1.043074324	1.034817692	
Prestw-46	Naphazoline hydrochloride	C	I14	BSF018294	BSF018298	BSF018302	BSF018306	0						1.011665455	1.022421963	1.012015292	0.850929054	0.985368597	
Prestw-47	Ticlopidine hydrochloride	C	P14	BSF018294	BSF018298	BSF018302	BSF018306	0						1.005064979	1.042673529	1.040039398	1.116272523	1.038520315	
Prestw-48	Dicyclomine hydrochloride	C	G15	BSF018294	BSF018298	BSF018302	BSF018306	1						1.015539199	0.974108407	0.955825453	1.097972973	0.894796031	
Prestw-49	Amyleine hydrochloride	C	P15	BSF018294	BSF018298	BSF018302	BSF018306	0						1.005222951	0.929574666	0.935741027	0.942426802	0.876138233	
