Prestwick Chemical Library ID	Compound Name	Subset	Well	Plate1	Plate2	Plate3	Plate4	NonInfectedToxHit	EPFL_mean_numberOfNucleiScore	EPFL_mean_numberOfInfectedNucleiScore	EPFL_mean_infectionIndexScore	EPFL_mean_numberOfPlaquesScore	EPFL_mean_totalVirusIntensityScore	EPFL_mean_numberOfNuclei_normalized	EPFL_mean_numberOfInfectedNuclei_normalized	EPFL_mean_infectionIndex_normalized	EPFL_mean_numberOfPlaques_normalized	EPFL_mean_totalVirusIntensity_normalized	Validation_ongoing
Prestw-1	Azaguanine-8	A	A3	BSF018292	BSF018296	BSF018300	BSF018304	0						0.078	0.084	-0.004	0.007	0.014	
Prestw-2	Allantoin	B	N17	BSF018293	BSF018297	BSF018301	BSF018305	0						0.234	0.339	0.105	-0.07	0.238	
Prestw-3	Acetazolamide	C	K4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.035	-0.058	-0.014	-0.02	-0.006	
Prestw-4	Metformin hydrochloride	C	H11	BSF018295	BSF018299	BSF018303	BSF018307	1						-0.012	-0.047	-0.028	-0.071	-0.041	
Prestw-5	Atracurium besylate	C	K16	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.033	-0.155	-0.121	0.079	-0.139	
Prestw-6	Isoflupredone acetate	C	H21	BSF018293	BSF018297	BSF018301	BSF018305	1	0.629	0.661				0.629	0.662	-0.127	0.179	0.516	
Prestw-7	Amiloride hydrochloride dihydrate	D	I4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.114	0.033	0.158	0.144	0.186	
Prestw-8	Amprolium hydrochloride	D	D11	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.017	0.029	0.053	0.039	0.025	
Prestw-9	Hydrochlorothiazide	D	B17	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.037	-0.046	-0.006	0.144	0.049	
Prestw-10	Sulfaguanidine	A	B3	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.056	0.049	0.114	0.011	0.123	
Prestw-11	Meticrane	A	D9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.014	0.069	0.094	0.06	0.13	
Prestw-12	Benzonatate	A	P13	BSF018294	BSF018298	BSF018302	BSF018306	1	0.841	0.944		0.651	0.87	0.841	0.944	-0.048	0.653	0.87	
Prestw-13	Hydroflumethiazide	A	D18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.036	0.009	-0.032	0.001	-0.048	
Prestw-14	Sulfacetamide sodic hydrate	A	I22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.028	0.001	0.033	0.019	0.014	
Prestw-15	Heptaminol hydrochloride	B	H7	BSF018295	BSF018299	BSF018303	BSF018307	0						0.029	0.098	0.074	-0.128	0.04	
Prestw-16	Sulfathiazole	B	P8	BSF018295	BSF018299	BSF018303	BSF018307	0						0.027	-0.203	-0.251	-0.128	-0.356	
Prestw-17	Levodopa	B	P9	BSF018295	BSF018299	BSF018303	BSF018307	0						0.006	-0.166	-0.184	-0.113	-0.224	
